hour,crash,address
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,1,Восточно-Кругликовская
9,0,0
10,0,0
11,0,0
12,1,Фадеева
13,0,0
14,1,Гагаина
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,1,Лизы_Чайкиной
21,0,0
22,1,Янковского
23,0,0
0,1,Промышленная
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,1,Артиллерийская
7,0,0
8,0,0
9,1,Селезнева
10,0,0
11,0,0
12,0,0
13,0,0
14,2,"Трамвайная, Героев-Разведчиков"
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
0,0,0
1,1,Кубанонабережная
2,0,0
3,1,Черкасская
4,0,0
5,0,0
6,1,Калинина
7,0,0
8,0,0
9,0,0
10,1,"Северная, Мира"
11,0,0
12,1,Российская
13,1,Урицкого
14,0,0
15,0,0
16,0,0
17,0,0
18,1,Кузнечная
19,1,Солнечная
20,0,0
21,0,0
22,1,Российская
23,0,0
0,1,Красная
1,1,Урицкого
2,1,Чапаева
3,0,0
4,1,Железнодорожная
5,0,0
6,0,0
7,0,0
8,0,0
9,1,Кузнечная
10,0,0
11,0,0
12,1,Максима_Горького
13,0,0
14,1,Фадеева
15,0,0
16,1,Рашпилевская
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,1,"Красная, Батуринская"
23,3,"Красных_Партизан, Кубанонабережная, им"
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,1,"Российская, Котовского"
10,0,0
11,1,Калинина
12,3,"Железнодорожная, Кореновская, Карасунская"
13,0,0
14,1,Новороссийская
15,0,0
16,1,Железнодорожная
17,0,0
18,1,Рашпилевская
19,0,0
20,0,0
21,0,0
22,1,Калинина
23,0,0
0,0,0
1,0,0
2,0,0
3,1,Фадеева
4,0,0
5,1,Московская
6,1,Суворова
7,1,Трамвайная
8,0,0
9,1,Героев-Разведчиков
10,0,0
11,2,"Восточно-Кругликовская, Красная"
12,1,Солнечная
13,0,0
14,0,0
15,1,Трамвайная
16,1,"Батуринская, Крупской"
17,0,0
18,0,0
19,0,0
20,1,Ставропольская
21,1,Суворова
22,0,0
23,0,0
0,0,0
1,0,0
2,2,"Кузнечная, Сормовская"
3,3,"Тургенева, Кузнечная, Восточная"
4,0,0
5,1,Полины_Осипенко
6,0,0
7,2,"Максима_Горького, Железнодорожная"
8,0,0
9,0,0
10,0,0
11,2,"Новороссийская, Чапаева"
12,1,Российская
13,0,0
14,1,Тенистая
15,1,"Красная, Батуринская"
16,1,Железнодорожная
17,1,Российская
18,1,Ленина
19,1,Российская
20,0,0
21,1,Тенистая
22,0,0
23,1,Кузнечная
