hour,traffic,jams
0,8206,0
1,5878,0
2,3783,0
3,2211,0
4,3201,0
5,5645,0
6,11407,0
7,20952,1
8,26248,1
9,32418,2
10,37132,2
11,39868,4
12,40508,5
13,41905,5
14,42137,5
15,40682,4
16,40042,4
17,31021,4
18,29158,3
19,32767,3
20,25550,2
21,23047,1
22,19148,0
23,13793,0
0,9836,0
1,6052,0
2,4772,0
3,3317,0
4,2910,0
5,4015,0
6,8090,0
7,15597,0
8,22989,1
9,28576,2
10,30672,2
11,33582,1
12,33640,2
13,40100,3
14,40857,3
15,38878,3
16,35386,3
17,39460,4
18,35037,3
19,35211,2
20,29973,1
21,25841,0
22,20021,0
23,15074,0
0,11989,0
1,7857,0
2,5878,0
3,4306,0
4,3550,0
5,3957,2
6,5412,3
7,9021,2
8,14142,3
9,22174,4
10,26772,5
11,31719,3
12,35095,4
13,37248,4
14,37539,4
15,38936,4
16,39577,5
17,38121,5
18,36143,7
19,32127,7
20,29915,6
21,23920,4
22,19555,1
23,15656,0
0,9370,0
1,5887,0
2,3084,0
3,2851,0
4,2386,0
5,4830,0
6,9486,0
7,16878,4
8,21185,5
9,26307,6
10,26598,5
11,29566,4
12,34222,4
13,32301,5
14,31778,4
15,32010,5
16,31021,7
17,21243,8
18,19963,6
19,22814,5
20,28809,3
21,24793,1
22,19730,0
23,13502,0
0,8846,0
1,4772,0
2,3375,0
3,2560,0
4,2386,0
5,5354,0
6,12571,0
7,21301,2
8,28518,5
9,33407,6
10,36317,4
11,41032,4
12,40391,5
13,37598,5
14,40391,4
15,41148,4
16,37016,5
17,25608,7
18,25899,8
19,31195,7
20,28926,5
21,24836,2
22,21010,1
23,14317,0
0,8090,0
1,5296,0
2,3201,0
3,2619,0
4,2968,0
5,4481,0
6,10418,2
7,20894,4
8,28751,6
9,32592,5
10,41323,5
11,39285,5
12,40741,6
13,45280,5
14,44465,5
15,43825,5
16,40100,6
17,26481,8
18,24502,9
19,30497,6
20,28576,4
21,27703,2
22,19486,0
23,13095,0
0,8555,0
1,5820,0
2,3783,0
3,2502,0
4,3783,0
5,4888,1
6,10476,2
7,20021,4
8,25084,5
9,35037,4
10,35270,4
11,39518,4
12,41264,5
13,42661,5
14,40508,6
15,42778,6
16,37132,7
17,27121,8
18,42074,8
19,28693,7
20,29275,3
21,30788,1
22,22116,0
23,13910,0
