date,hour,crash,address
2024-11-23,0,0,
2024-11-23,1,0,
2024-11-23,2,0,
2024-11-23,3,0,
2024-11-23,4,0,
2024-11-23,5,0,
2024-11-23,6,0,
2024-11-23,7,0,
2024-11-23,8,1,Восточно-Кругликовская
2024-11-23,9,0,
2024-11-23,10,0,
2024-11-23,11,0,
2024-11-23,12,1,Фадеева
2024-11-23,13,0,
2024-11-23,14,1,им
2024-11-23,15,0,
2024-11-23,16,0,
2024-11-23,17,0,
2024-11-23,18,0,
2024-11-23,19,0,
2024-11-23,20,1,Лизы_Чайкиной
2024-11-23,21,0,
2024-11-23,22,1,Янковского
2024-11-23,23,0,
2024-11-24,0,1,Промышленная
2024-11-24,1,0,
2024-11-24,2,0,
2024-11-24,3,0,
2024-11-24,4,0,
2024-11-24,5,0,
2024-11-24,6,1,Артиллерийская
2024-11-24,7,0,
2024-11-24,8,0,
2024-11-24,9,1,Селезнева
2024-11-24,10,0,
2024-11-24,11,0,
2024-11-24,12,0,
2024-11-24,13,0,
2024-11-24,14,2,"Трамвайная, Героев-Разведчиков"
2024-11-24,15,0,
2024-11-24,16,0,
2024-11-24,17,0,
2024-11-24,18,0,
2024-11-24,19,0,
2024-11-24,20,0,
2024-11-24,21,0,
2024-11-24,22,0,
2024-11-24,23,0,
2024-11-25,0,0,
2024-11-25,1,1,Кубанонабережная
2024-11-25,2,0,
2024-11-25,3,1,Черкасская
2024-11-25,4,0,
2024-11-25,5,0,
2024-11-25,6,1,Калинина
2024-11-25,7,0,
2024-11-25,8,0,
2024-11-25,9,0,
2024-11-25,10,1,"Северная, Мира"
2024-11-25,11,0,
2024-11-25,12,1,Российская
2024-11-25,13,1,Урицкого
2024-11-25,14,0,
2024-11-25,15,0,
2024-11-25,16,0,
2024-11-25,17,0,
2024-11-25,18,1,Кузнечная
2024-11-25,19,1,Солнечная
2024-11-25,20,0,
2024-11-25,21,0,
2024-11-25,22,1,Российская
2024-11-25,23,0,
2024-11-26,0,1,Красная
2024-11-26,1,1,Урицкого
2024-11-26,2,1,Чапаева
2024-11-26,3,0,
2024-11-26,4,1,Железнодорожная
2024-11-26,5,0,
2024-11-26,6,0,
2024-11-26,7,0,
2024-11-26,8,0,
2024-11-26,9,1,Кузнечная
2024-11-26,10,0,
2024-11-26,11,0,
2024-11-26,12,1,Максима_Горького
2024-11-26,13,0,
2024-11-26,14,1,Фадеева
2024-11-26,15,0,
2024-11-26,16,1,Рашпилевская
2024-11-26,17,0,
2024-11-26,18,0,
2024-11-26,19,0,
2024-11-26,20,0,
2024-11-26,21,0,
2024-11-26,22,1,"Красная, Батуринская"
2024-11-26,23,3,"Красных_Партизан, Кубанонабережная, им"
2024-11-27,0,0,
2024-11-27,1,0,
2024-11-27,2,0,
2024-11-27,3,0,
2024-11-27,4,0,
2024-11-27,5,0,
2024-11-27,6,0,
2024-11-27,7,0,
2024-11-27,8,0,
2024-11-27,9,1,"Российская, Котовского"
2024-11-27,10,0,
2024-11-27,11,1,Калинина
2024-11-27,12,3,"Железнодорожная, Кореновская, Карасунская"
2024-11-27,13,0,
2024-11-27,14,1,Новороссийская
2024-11-27,15,0,
2024-11-27,16,1,Железнодорожная
2024-11-27,17,0,
2024-11-27,18,1,Рашпилевская
2024-11-27,19,0,
2024-11-27,20,0,
2024-11-27,21,0,
2024-11-27,22,1,Калинина
2024-11-27,23,0,
2024-11-28,0,0,
2024-11-28,1,0,
2024-11-28,2,0,
2024-11-28,3,1,Фадеева
2024-11-28,4,0,
2024-11-28,5,1,Московская
2024-11-28,6,1,Суворова
2024-11-28,7,1,Трамвайная
2024-11-28,8,0,
2024-11-28,9,1,Героев-Разведчиков
2024-11-28,10,0,
2024-11-28,11,2,"Восточно-Кругликовская, Красная"
2024-11-28,12,1,Солнечная
2024-11-28,13,0,
2024-11-28,14,0,
2024-11-28,15,1,Трамвайная
2024-11-28,16,1,"Батуринская, Крупской"
2024-11-28,17,0,
2024-11-28,18,0,
2024-11-28,19,0,
2024-11-28,20,1,Ставропольская
2024-11-28,21,1,Суворова
2024-11-28,22,0,
2024-11-28,23,0,
2024-11-29,0,0,
2024-11-29,1,0,
2024-11-29,2,2,"Кузнечная, Сормовская"
2024-11-29,3,3,"Тургенева, Кузнечная, Восточная"
2024-11-29,4,0,
2024-11-29,5,1,им
2024-11-29,6,0,
2024-11-29,7,2,"Максима_Горького, Железнодорожная"
2024-11-29,8,0,
2024-11-29,9,0,
2024-11-29,10,0,
2024-11-29,11,2,"Новороссийская, Чапаева"
2024-11-29,12,1,Российская
2024-11-29,13,0,
2024-11-29,14,1,Тенистая
2024-11-29,15,1,"Красная, Батуринская"
2024-11-29,16,1,Железнодорожная
2024-11-29,17,1,Российская
2024-11-29,18,1,им
2024-11-29,19,1,Российская
2024-11-29,20,0,
2024-11-29,21,1,Тенистая
2024-11-29,22,0,
2024-11-29,23,1,Кузнечная
2024-11-30,0,0,
2024-11-30,1,0,
2024-11-30,2,0,
2024-11-30,3,0,
2024-11-30,4,1,"Новороссийская, Северная"
2024-11-30,5,0,
2024-11-30,6,0,
2024-11-30,7,0,
2024-11-30,8,3,"Тенистая, Железнодорожная, Ставропольская"
2024-11-30,9,1,Солнечная
2024-11-30,10,1,Селезнева
2024-11-30,11,0,
2024-11-30,12,0,
2024-11-30,13,0,
2024-11-30,14,0,
2024-11-30,15,0,
2024-11-30,16,0,
2024-11-30,17,0,
2024-11-30,18,1,Красная
2024-11-30,19,1,Дзержинского
2024-11-30,20,1,Российская
2024-11-30,21,0,
2024-11-30,22,2,"Суворова, Российская"
2024-11-30,23,1,Российская
