1 мая;1st of May
9 Января;9th of January
Александр Матросова;Alexander Matrosov
Алтайская;Altayskaya
Амурская;Amurskaya
Атарбекова;Atarbekova
Бабушкина;Babushkina
Балтийская;Baltiyskaya
Белорусская;Belorusskaya
Береговая;Beregovaya
Бородинская;Borodinskaya
Брюсова;Bryusova
Будённого;Budennogo
Виноградная;Vinogradnaya
Волжская;Volzhskaya
Воровского;Vorovskogo
Герцена;Gertsena
Глинки;Glinki
Деповская;Depovskaya
Днепровская;Dneprovskaya
Доватора;Dovatora
Донская;Donskaya
Дубинка;Dubinka
Дунайская;Dunayskaya
Дунайский проезд;Dunaysky Passage
Енисейская;Eniseyskaya
Захарова;Zakharova
Индустриальная;Industrialnaya
КИМ;KIM
Казанская;Kazanskaya
Каляева;Kalyaeva
Камская;Kamskaya
Карла Маркса;Karl Marx
Керченская;Kerchenskaya
Ковтюха;Kovtyukha
Коммунаров;Kommunarov
Комсомольская;Komsomolskaya
Космонавта Гагарина;Cosmonaut Gagarin
Котовского;Kotovskogo
Красная;Krasnaya
Красноармейская;Krasnoarmeyskaya
Краснодонская;Krasnodonskaya
Красных Партизан;Krasnykh Partizan
Кропоткина;Kropotkina
Круговая;Krugovaya
Крымская;Krymskaya
Лермонтова;Lermontova
Лесная;Lesnaya
Луговой проезд;Lugovoy Passage
Луначарского;Lunacharskogo
Майкопская;Maykopskaya
Малая;Malaya
Малый проезд;Maly Passage
Маяковского;Mayakovskogo
Мира;Mira
Новгородская;Novgorodskaya
Новгородский проезд;Novgorodsky Passage
Новосибирская;Novosibirskaya
Олега Кошевого;Oleg Koshevoy
Олимпийская;Olimpiyskaya
Оранжерейная;Oranzhereynaya
Парковая;Parkovaya
Передерия;Perederiya
Песчаный проезд;Peschany Passage
Пионерская;Pionerskaya
Пластунский проезд;Plastunsky Passage
Полины Осипенко;Polina Osipenko
Постовая;Postovaya
Полтавская;Poltavskaya
Пугачёва;Pugachyova
Пушкина;Pushkina
Рассветная;Rassvetnaya
РМЗ;RMZ
Речная;Rechnaya
Рыбачья;Rybachya
Севастопольская;Sevastopolskaya
Селезнёва;Selezneva
Славянская;Slavyanskaya
Советская;Sovetskaya
Станкостроительная;Stankostroitelnaya
Стасова;Stasova
Степана Разина;Stepan Razin
Степная;Stepnaya
Таганрогская;Taganrogskaya
Таманская;Tamanskaya
Тахтамукайская;Takhtamukayskaya
Темрюкская;Temryukskaya
Титаровская;Titarovskaya
Толбухина;Tolbukhina
Толстого;Tolstogo
Труда;Truda
Туапсинская;Tuapsinskaya
Тургенева;Turgeneva
Монтажников;Montazhnikov
Уральская;Uralskaya
Урицкого;Uritskogo
Фестивальная;Festivalnaya
Хабаровская;Khabarovskaya
Химзаводская;Khimzavodskaya
Черняховского;Chernyakhovskogo
Чапаева;Chapaeva
Шевченко;Shevchenko
Энгельса;Engelsa
Южная;Yuzhnaya
Ялтинская;Yaltinskaya
