date,temp,weather,weekday,hour,hour_type,day_type
2024-12-05 00:00:00,-1,cloudy,thursday,0,night,workday
2024-12-05 01:00:00,0,rain,thursday,1,night,workday
2024-12-05 02:00:00,-1,rain,thursday,2,night,workday
2024-12-05 03:00:00,-2,cloudy,thursday,3,night,workday
2024-12-05 04:00:00,-2,cloudy,thursday,4,night,workday
2024-12-05 05:00:00,-1,cloudy,thursday,5,night,workday
2024-12-05 06:00:00,-1,cloudy,thursday,6,morning,workday
2024-12-05 07:00:00,-1,cloudy,thursday,7,morning,workday
2024-12-05 08:00:00,-2,cloudy,thursday,8,morning,workday
2024-12-05 09:00:00,-1,cloudy,thursday,9,morning,workday
2024-12-05 10:00:00,1,cloudy,thursday,10,morning,workday
2024-12-05 11:00:00,2,cloudy,thursday,11,morning,workday
2024-12-05 12:00:00,3,cloudy,thursday,12,afternoon,workday
2024-12-05 13:00:00,4,clear,thursday,13,afternoon,workday
2024-12-05 14:00:00,4,clear,thursday,14,afternoon,workday
2024-12-05 15:00:00,4,clear,thursday,15,afternoon,workday
2024-12-05 16:00:00,5,clear,thursday,16,afternoon,workday
2024-12-05 17:00:00,4,clear,thursday,17,afternoon,workday
2024-12-05 18:00:00,4,clear,thursday,18,evening,workday
2024-12-05 19:00:00,4,clear,thursday,19,evening,workday
2024-12-05 20:00:00,4,clear,thursday,20,evening,workday
2024-12-05 21:00:00,4,clear,thursday,21,evening,workday
2024-12-05 22:00:00,3,clear,thursday,22,evening,workday
2024-12-05 23:00:00,3,clear,thursday,23,evening,workday
2024-12-06 00:00:00,3,clear,friday,0,night,workday
2024-12-06 01:00:00,2,clear,friday,1,night,workday
2024-12-06 02:00:00,2,cloudy,friday,2,night,workday
2024-12-06 03:00:00,2,cloudy,friday,3,night,workday
2024-12-06 04:00:00,1,cloudy,friday,4,night,workday
2024-12-06 05:00:00,1,cloudy,friday,5,night,workday
2024-12-06 06:00:00,0,cloudy,friday,6,morning,workday
2024-12-06 07:00:00,1,cloudy,friday,7,morning,workday
2024-12-06 08:00:00,1,cloudy,friday,8,morning,workday
2024-12-06 09:00:00,2,cloudy,friday,9,morning,workday
2024-12-06 10:00:00,3,cloudy,friday,10,morning,workday
2024-12-06 11:00:00,4,cloudy,friday,11,morning,workday
