date,time,temp,weather,weekday
2024-12-05 00:00:00,00:00,-1°,Облачно,Четверг
2024-12-05 01:00:00,01:00,0°,Ледяной дождь,Четверг
2024-12-05 02:00:00,02:00,-1°,Ледяной дождь,Четверг
2024-12-05 03:00:00,03:00,-2°,Преимущественно облачно,Четверг
2024-12-05 04:00:00,04:00,-2°,Преимущественно облачно,Четверг
2024-12-05 05:00:00,05:00,-1°,Переменная облачность,Четверг
2024-12-05 06:00:00,06:00,-1°,Переменная облачность,Четверг
2024-12-05 07:00:00,07:00,-1°,Переменная облачность,Четверг
2024-12-05 08:00:00,08:00,-2°,Переменная облачность,Четверг
2024-12-05 09:00:00,09:00,-1°,Преимущественно облачно,Четверг
2024-12-05 10:00:00,10:00,1°,Переменная облачность,Четверг
2024-12-05 11:00:00,11:00,2°,Переменная облачность,Четверг
2024-12-05 12:00:00,12:00,3°,Небольшая облачность,Четверг
2024-12-05 13:00:00,13:00,4°,Преимущественно ясно,Четверг
2024-12-05 14:00:00,14:00,4°,Преимущественно ясно,Четверг
2024-12-05 15:00:00,15:00,4°,Солнечно,Четверг
2024-12-05 16:00:00,16:00,5°,Солнечно,Четверг
2024-12-05 17:00:00,17:00,4°,Ясно,Четверг
2024-12-05 18:00:00,18:00,4°,Ясно,Четверг
2024-12-05 19:00:00,19:00,4°,Ясно,Четверг
2024-12-05 20:00:00,20:00,4°,Ясно,Четверг
2024-12-05 21:00:00,21:00,4°,Ясно,Четверг
2024-12-05 22:00:00,22:00,3°,Преимущественно ясно,Четверг
2024-12-05 23:00:00,23:00,3°,Преимущественно ясно,Четверг
2024-12-06 00:00:00,00:00,3°,Облачно с прояснениями,Пятница
2024-12-06 01:00:00,01:00,2°,Облачно с прояснениями,Пятница
2024-12-06 02:00:00,02:00,2°,Переменная облачность,Пятница
2024-12-06 03:00:00,03:00,2°,Переменная облачность,Пятница
2024-12-06 04:00:00,04:00,1°,Переменная облачность,Пятница
2024-12-06 05:00:00,05:00,1°,Преимущественно облачно,Пятница
2024-12-06 06:00:00,06:00,0°,Преимущественно облачно,Пятница
2024-12-06 07:00:00,07:00,1°,Преимущественно облачно,Пятница
2024-12-06 08:00:00,08:00,1°,Облачно,Пятница
2024-12-06 09:00:00,09:00,2°,Облачно,Пятница
2024-12-06 10:00:00,10:00,3°,Облачно,Пятница
2024-12-06 11:00:00,11:00,4°,Облачно,Пятница
2024-12-06 12:00:00,12:00,4°,Преимущественно облачно,Пятница
2024-12-06 13:00:00,13:00,5°,Преимущественно облачно,Пятница
2024-12-06 14:00:00,14:00,5°,Преимущественно облачно,Пятница
2024-12-06 15:00:00,15:00,5°,Переменная облачность,Пятница
2024-12-06 16:00:00,16:00,5°,Переменная облачность,Пятница
2024-12-06 17:00:00,17:00,4°,Переменная облачность,Пятница
2024-12-06 18:00:00,18:00,4°,Облачно с прояснениями,Пятница
2024-12-06 19:00:00,19:00,4°,Облачно с прояснениями,Пятница
2024-12-06 20:00:00,20:00,4°,Преимущественно ясно,Пятница
2024-12-06 21:00:00,21:00,3°,Преимущественно ясно,Пятница
2024-12-06 22:00:00,22:00,3°,Преимущественно ясно,Пятница
2024-12-06 23:00:00,23:00,3°,Преимущественно ясно,Пятница
2024-12-07 00:00:00,00:00,3°,Преимущественно ясно,Суббота
2024-12-07 01:00:00,01:00,3°,Преимущественно ясно,Суббота
2024-12-07 02:00:00,02:00,3°,Преимущественно ясно,Суббота
2024-12-07 03:00:00,03:00,3°,Преимущественно ясно,Суббота
2024-12-07 04:00:00,04:00,2°,Преимущественно ясно,Суббота
2024-12-07 05:00:00,05:00,1°,Преимущественно ясно,Суббота
2024-12-07 06:00:00,06:00,1°,Преимущественно ясно,Суббота
2024-12-07 07:00:00,07:00,1°,Преимущественно ясно,Суббота
2024-12-07 08:00:00,08:00,0°,Преимущественно ясно,Суббота
2024-12-07 09:00:00,09:00,1°,Преимущественно ясно,Суббота
2024-12-07 10:00:00,10:00,3°,Преимущественно ясно,Суббота
2024-12-07 11:00:00,11:00,4°,Преимущественно ясно,Суббота
2024-12-07 12:00:00,12:00,5°,Небольшая облачность,Суббота
2024-12-07 13:00:00,13:00,6°,Небольшая облачность,Суббота
2024-12-07 14:00:00,14:00,7°,Небольшая облачность,Суббота
2024-12-07 15:00:00,15:00,8°,Небольшая облачность,Суббота
2024-12-07 16:00:00,16:00,7°,Небольшая облачность,Суббота
2024-12-07 17:00:00,17:00,6°,Облачно с прояснениями,Суббота
2024-12-07 18:00:00,18:00,5°,Облачно с прояснениями,Суббота
2024-12-07 19:00:00,19:00,5°,Облачно с прояснениями,Суббота
2024-12-07 20:00:00,20:00,4°,Облачно с прояснениями,Суббота
2024-12-07 21:00:00,21:00,3°,Облачно с прояснениями,Суббота
2024-12-07 22:00:00,22:00,3°,Облачно с прояснениями,Суббота
2024-12-07 23:00:00,23:00,3°,Облачно с прояснениями,Суббота
2024-12-08 00:00:00,00:00,2°,Преимущественно ясно,Воскресенье
2024-12-08 01:00:00,01:00,2°,Преимущественно ясно,Воскресенье
2024-12-08 02:00:00,02:00,2°,Преимущественно ясно,Воскресенье
2024-12-08 03:00:00,03:00,2°,Ясно,Воскресенье
2024-12-08 04:00:00,04:00,3°,Ясно,Воскресенье
2024-12-08 05:00:00,05:00,3°,Ясно,Воскресенье
2024-12-08 06:00:00,06:00,3°,Ясно,Воскресенье
2024-12-08 07:00:00,07:00,3°,Переменная облачность,Воскресенье
