iter	RMSE
0	0.4944514496
1	0.4913197394
2	0.4882053226
3	0.4853115992
4	0.4821645459
5	0.4793034149
6	0.4762430808
7	0.4734211465
8	0.4705428829
9	0.4675779291
10	0.4646198084
11	0.4618143768
12	0.4590226794
13	0.4561034692
14	0.4532580238
15	0.4504272852
16	0.4475867297
17	0.4450132732
18	0.4422427115
19	0.4395699631
20	0.436846682
21	0.4344042755
22	0.4318329525
23	0.4294985198
24	0.4268803117
25	0.42443231
26	0.4219594631
27	0.4194063155
28	0.4168771457
29	0.4143421771
30	0.4119215515
31	0.4094244671
32	0.4069507982
33	0.4045578969
34	0.402224326
35	0.3999788197
36	0.3976157312
37	0.3953583167
38	0.3930965232
39	0.3908093348
40	0.3885440532
41	0.386367355
42	0.3842805758
43	0.3820485694
44	0.3798229756
45	0.37765515
46	0.3755995259
47	0.3734573412
48	0.3713400274
49	0.3691982634
50	0.3671161799
51	0.3650280821
52	0.3629660258
53	0.3609180699
54	0.3589023528
55	0.3570029953
56	0.3550502405
57	0.353129195
58	0.3512898517
59	0.3493838484
60	0.3474588628
61	0.3455131739
62	0.3437047898
63	0.3418312616
64	0.3400297727
65	0.338232413
66	0.3364102596
67	0.3347302656
68	0.3331147724
69	0.3314294608
70	0.3296307554
71	0.3279555881
72	0.3263020723
73	0.3247011414
74	0.3230773425
75	0.3214327634
76	0.3198561098
77	0.3182079465
78	0.316576384
79	0.315002412
80	0.3135060605
81	0.3119219136
82	0.3103946813
83	0.3089493623
84	0.3074958981
85	0.3059691111
86	0.3044071684
87	0.3029354499
88	0.3014814349
89	0.2999600126
90	0.2985749849
91	0.2971530561
92	0.2957043064
93	0.2943629326
94	0.2929941785
95	0.29162357
96	0.2903512489
97	0.2890082978
98	0.2876337722
99	0.2863238537
100	0.2850871385
101	0.2837205787
102	0.2825958712
103	0.2813640338
104	0.2800844391
105	0.2788520743
106	0.2777264344
107	0.2765473347
108	0.2753140883
109	0.2740791143
110	0.2728348608
111	0.2716385648
112	0.2704900338
113	0.2691661829
114	0.2680268554
115	0.2670696362
116	0.2659273187
117	0.2648275381
118	0.2636466792
119	0.2623903417
120	0.2612981969
121	0.2602419223
122	0.2591513858
123	0.2581321476
124	0.2569563412
125	0.2558905298
126	0.2548871777
127	0.2539575609
128	0.2528250019
129	0.25196706
130	0.2510034686
131	0.2500826544
132	0.2491345301
133	0.2481464648
134	0.2472569373
135	0.2463643469
136	0.2454044894
137	0.2444431886
138	0.2433834077
139	0.242416362
140	0.2414988953
141	0.2406054228
142	0.2397084159
143	0.2388532608
144	0.2379819496
145	0.2371421118
146	0.2362380533
147	0.2354045199
148	0.2345194228
149	0.2336816166
150	0.2328018472
151	0.2320208793
152	0.2312189696
153	0.2304760267
154	0.2296391842
155	0.2287717498
156	0.2280320577
157	0.2272198554
158	0.2263782043
159	0.2255940763
160	0.2248091621
161	0.2240203426
162	0.2232473298
163	0.2224833002
164	0.2217355058
165	0.2209425193
166	0.220104102
167	0.219365392
168	0.2186659394
169	0.2179022397
170	0.2171962834
171	0.2166033579
172	0.2159418151
173	0.2151543827
174	0.2145164433
175	0.2138360662
176	0.213286428
177	0.2125883407
178	0.2119208609
179	0.2112101176
180	0.2105625028
181	0.2099634609
182	0.2092515712
183	0.2086490489
184	0.207972581
185	0.2074112858
186	0.206733991
187	0.2061935478
188	0.2055841744
189	0.2050261305
190	0.2044451349
191	0.2038992447
192	0.2033187674
193	0.202784748
194	0.2021510584
195	0.2015585102
196	0.2009857509
197	0.2004058844
198	0.1998469729
199	0.1993016268
200	0.1988165574
201	0.198275407
202	0.1977020212
203	0.1971878863
204	0.1967516134
205	0.1962194944
206	0.1956479366
207	0.1951233664
208	0.194631988
209	0.1941002208
210	0.1936246114
211	0.1931164518
212	0.1926503983
213	0.1921657821
214	0.191743504
215	0.1913145848
216	0.1908174245
217	0.1903684793
218	0.1899618696
219	0.1894720117
220	0.1890351682
221	0.1886426014
222	0.1881932758
223	0.1878114163
224	0.1873272918
225	0.1868392845
226	0.1865210777
227	0.186065019
228	0.18566986
229	0.1852778727
230	0.1849383481
231	0.1845755457
232	0.1842314748
233	0.1838183184
234	0.1833647114
235	0.1829144637
236	0.1825333164
237	0.1821721954
238	0.1818532289
239	0.1814961665
240	0.1811410664
241	0.1807628535
242	0.1803315075
243	0.1799597689
244	0.179605778
245	0.1792674121
246	0.1788567797
247	0.178525812
248	0.1780573666
249	0.1776545017
250	0.1772890464
251	0.1769749294
252	0.1766494856
253	0.1763392678
254	0.1758901869
255	0.1755924671
256	0.1752540965
257	0.1748756433
258	0.1744826821
259	0.1742325217
260	0.1738907315
