iter	Passed	Remaining
0	15	25132
1	24	19708
2	33	17748
3	42	16926
4	51	16421
5	59	15970
6	69	15757
7	78	15592
8	86	15390
9	95	15287
10	104	15149
11	113	15080
12	122	15024
13	131	14970
14	140	14926
15	149	14885
16	158	14850
17	166	14695
18	175	14670
19	184	14614
20	193	14593
21	202	14574
22	211	14555
23	219	14452
24	228	14426
25	237	14428
26	246	14426
27	256	14422
28	264	14396
29	275	14439
30	284	14460
31	294	14491
32	304	14510
33	313	14500
34	323	14520
35	332	14509
36	342	14523
37	352	14516
38	361	14518
39	370	14489
40	378	14455
41	388	14441
42	397	14427
43	406	14412
44	415	14401
45	424	14373
46	433	14361
47	442	14350
48	451	14348
49	461	14339
50	470	14346
51	480	14341
52	489	14348
53	499	14338
54	509	14347
55	518	14345
56	527	14336
57	537	14342
58	546	14332
59	556	14337
60	566	14327
61	575	14328
62	585	14323
63	594	14311
64	603	14301
65	612	14288
66	621	14274
67	631	14263
68	638	14219
69	647	14206
70	656	14193
71	666	14189
72	675	14177
73	685	14181
74	694	14172
75	703	14161
76	712	14145
77	722	14144
78	731	14136
79	741	14136
80	749	14106
81	759	14097
82	768	14097
83	778	14089
84	787	14087
85	796	14076
86	806	14064
87	815	14054
88	824	14043
89	833	14031
90	842	14018
91	851	14007
92	858	13960
93	867	13945
94	876	13935
95	886	13927
96	895	13920
97	905	13917
98	914	13913
99	924	13909
100	934	13908
101	943	13902
102	954	13920
103	966	13942
104	975	13936
105	985	13936
106	994	13928
107	1004	13924
108	1014	13919
109	1023	13909
110	1032	13897
111	1041	13887
112	1050	13870
113	1059	13858
114	1068	13846
115	1077	13834
116	1086	13822
117	1095	13810
118	1105	13799
119	1113	13785
120	1123	13774
121	1132	13769
122	1140	13744
123	1150	13742
124	1158	13716
125	1168	13712
126	1177	13702
127	1185	13682
128	1193	13658
129	1202	13648
130	1212	13645
131	1221	13635
132	1231	13631
133	1238	13597
134	1248	13593
135	1257	13579
136	1264	13549
137	1274	13546
138	1283	13536
139	1292	13526
140	1299	13493
141	1308	13483
142	1315	13453
143	1325	13444
144	1334	13440
145	1344	13431
146	1353	13427
147	1363	13422
148	1372	13413
149	1380	13387
150	1389	13379
151	1399	13375
152	1408	13367
153	1418	13364
154	1427	13358
155	1437	13350
156	1446	13344
157	1456	13335
158	1465	13326
159	1474	13316
160	1483	13305
161	1492	13291
162	1501	13282
163	1510	13272
164	1519	13262
165	1528	13252
166	1538	13243
167	1547	13235
168	1556	13225
169	1566	13219
170	1575	13210
171	1582	13187
172	1592	13179
173	1601	13174
174	1611	13170
175	1620	13158
176	1629	13142
177	1638	13133
178	1647	13124
179	1656	13115
180	1666	13110
181	1676	13104
182	1685	13095
183	1694	13087
184	1703	13077
185	1712	13068
186	1722	13060
187	1731	13052
188	1741	13044
189	1750	13033
190	1759	13026
191	1766	13002
192	1776	12997
193	1784	12980
194	1794	12977
195	1802	12960
196	1812	12954
197	1820	12937
198	1830	12934
199	1840	12927
200	1850	12925
201	1860	12921
202	1869	12914
203	1879	12907
204	1888	12899
205	1898	12894
206	1908	12886
207	1916	12868
208	1925	12860
209	1934	12852
210	1944	12845
211	1953	12837
212	1963	12828
213	1972	12821
214	1982	12814
215	1991	12809
216	2000	12798
217	2010	12792
218	2020	12785
219	2029	12778
220	2039	12770
221	2047	12752
222	2055	12736
223	2062	12718
224	2072	12711
225	2082	12706
226	2092	12702
227	2101	12691
228	2111	12684
229	2120	12676
230	2129	12665
231	2138	12653
232	2145	12632
233	2153	12615
234	2162	12607
235	2171	12599
236	2180	12587
237	2190	12579
238	2197	12559
239	2207	12552
240	2216	12542
241	2226	12537
242	2235	12530
243	2245	12525
244	2255	12518
245	2265	12514
246	2275	12510
247	2285	12503
248	2295	12498
249	2305	12493
250	2314	12483
251	2323	12476
252	2332	12466
253	2342	12458
254	2351	12449
255	2360	12441
256	2369	12426
257	2378	12417
258	2387	12409
259	2395	12393
260	2405	12384
261	2414	12376
262	2424	12369
263	2433	12361
264	2443	12356
265	2453	12351
266	2463	12344
267	2473	12339
268	2482	12331
269	2491	12319
270	2500	12310
271	2510	12305
272	2520	12299
273	2530	12291
274	2538	12274
275	2547	12266
276	2557	12259
277	2566	12251
278	2576	12243
279	2585	12234
280	2593	12219
281	2602	12210
282	2609	12190
283	2619	12182
284	2628	12173
285	2638	12166
286	2646	12151
287	2655	12145
288	2665	12137
289	2673	12120
290	2681	12106
291	2690	12100
292	2700	12092
293	2709	12081
294	2719	12074
295	2728	12067
296	2738	12061
297	2748	12054
298	2757	12046
299	2767	12037
300	2777	12031
301	2787	12024
302	2796	12016
303	2803	11998
304	2812	11989
305	2822	11981
306	2831	11972
307	2841	11964
308	2848	11946
309	2858	11939
310	2868	11933
311	2877	11925
312	2887	11919
313	2897	11911
314	2907	11905
315	2915	11891
316	2925	11884
317	2935	11878
318	2944	11870
319	2954	11864
320	2964	11856
321	2973	11848
322	2983	11840
323	2992	11831
324	3001	11822
325	3011	11813
326	3020	11804
327	3029	11796
328	3039	11787
329	3048	11778
330	3058	11770
331	3067	11762
332	3077	11754
333	3087	11748
334	3096	11739
335	3106	11733
336	3116	11725
337	3125	11717
338	3135	11711
339	3144	11700
340	3155	11694
341	3164	11685
342	3174	11680
343	3184	11672
344	3193	11664
345	3203	11655
346	3212	11647
347	3221	11637
348	3231	11628
349	3240	11619
350	3248	11605
351	3258	11598
352	3268	11591
353	3277	11582
354	3287	11575
355	3296	11567
356	3307	11560
357	3317	11554
358	3326	11546
359	3335	11534
360	3343	11522
361	3353	11515
362	3363	11507
363	3373	11499
364	3383	11493
365	3392	11484
366	3402	11477
367	3411	11468
368	3421	11460
369	3430	11450
370	3439	11441
371	3447	11428
372	3457	11419
373	3466	11410
374	3476	11401
375	3485	11393
376	3495	11384
377	3504	11376
378	3514	11369
379	3524	11360
380	3534	11354
381	3542	11341
382	3552	11334
383	3561	11325
384	3571	11318
385	3582	11312
386	3591	11304
387	3600	11293
388	3609	11284
389	3619	11277
390	3629	11268
391	3638	11258
392	3647	11249
393	3657	11240
394	3666	11230
395	3675	11221
396	3684	11212
397	3694	11204
398	3704	11195
399	3713	11187
400	3723	11179
401	3733	11172
402	3741	11159
403	3751	11151
404	3760	11142
405	3770	11136
406	3780	11128
407	3790	11120
408	3800	11113
409	3809	11104
410	3819	11096
411	3829	11088
412	3837	11075
413	3845	11063
414	3855	11054
415	3864	11045
416	3874	11036
417	3883	11028
418	3892	11019
419	3902	11010
420	3911	11001
421	3921	10992
422	3930	10983
423	3939	10974
424	3950	10967
425	3960	10960
426	3969	10951
427	3979	10944
428	3989	10935
429	3999	10928
430	4009	10920
431	4019	10912
432	4027	10901
433	4036	10892
434	4046	10884
435	4056	10875
436	4065	10866
437	4073	10853
438	4082	10842
439	4091	10832
440	4100	10823
441	4110	10814
442	4119	10806
443	4129	10798
444	4138	10788
445	4148	10780
446	4158	10772
447	4166	10761
448	4176	10753
449	4186	10745
450	4196	10737
451	4206	10729
452	4216	10721
453	4226	10714
454	4235	10704
455	4245	10697
456	4255	10688
457	4264	10680
458	4274	10672
459	4283	10662
460	4293	10654
461	4302	10645
462	4312	10637
463	4322	10628
464	4331	10620
465	4341	10612
466	4350	10602
467	4361	10595
468	4370	10587
469	4381	10580
470	4391	10572
471	4400	10563
472	4411	10557
473	4420	10548
474	4431	10541
475	4440	10532
476	4449	10522
477	4459	10514
478	4469	10506
479	4478	10497
480	4488	10488
481	4497	10478
482	4506	10469
483	4515	10459
484	4525	10449
485	4534	10440
486	4543	10431
487	4553	10422
488	4563	10414
489	4572	10405
490	4582	10396
491	4592	10388
492	4601	10378
493	4611	10371
494	4620	10362
495	4630	10354
496	4640	10345
497	4649	10335
498	4659	10327
499	4669	10318
500	4679	10310
501	4688	10302
502	4698	10293
503	4707	10283
504	4716	10274
505	4726	10265
506	4735	10256
507	4745	10246
508	4754	10237
509	4763	10228
510	4773	10220
511	4783	10210
512	4793	10203
513	4802	10193
514	4812	10185
515	4822	10177
516	4832	10168
517	4841	10160
518	4851	10151
519	4861	10143
520	4871	10135
521	4881	10126
522	4890	10118
523	4899	10108
524	4909	10099
525	4918	10089
526	4927	10079
527	4937	10070
528	4946	10061
529	4955	10051
530	4965	10042
531	4974	10033
532	4983	10023
533	4993	10015
534	5003	10006
535	5012	9997
536	5023	9990
537	5032	9981
538	5042	9973
539	5052	9965
540	5062	9956
541	5072	9948
542	5082	9939
543	5092	9931
544	5101	9922
545	5111	9913
546	5120	9904
547	5130	9895
548	5139	9886
549	5149	9877
550	5158	9868
551	5168	9858
552	5177	9848
